mood,age_group,suggestion_text
High,15-25,"Talk to a trusted friend or teacher about what is weighing on your mind today."
High,15-25,"Step away from your phone and spend 10 minutes outside in fresh air or sunlight."
High,15-25,"Write down three things that are within your control right now and focus only on those."
High,15-25,"Remind yourself that exam results do not define your worth as a person."
High,15-25,"Take a short break from social media today and do one thing you genuinely enjoy."
High,26-40,"Share how you are feeling with a spouse, sibling, or close friend you trust."
High,26-40,"Take a 15-minute walk away from your desk and breathe slowly during it."
High,26-40,"Write down the single most important task for today and ignore everything else for now."
High,26-40,"Remember that it is okay to say no to extra responsibilities when you are overwhelmed."
High,26-40,"Consider speaking to a counselor or mental health professional about what you are carrying."
High,41-65,"Talk to someone you trust in your family about how you have been feeling lately."
High,41-65,"Take a short rest and allow yourself to pause without feeling guilty about it."
High,41-65,"Focus on one small positive thing you can do today rather than the full picture."
High,41-65,"Practice slow and steady breathing for five minutes in a quiet place."
High,41-65,"Remember that seeking help is a sign of strength and wisdom not weakness."
Medium,15-25,"Take a 10-minute break from studying and drink a full glass of water."
Medium,15-25,"Call or message one friend just to talk and take your mind off stress."
Medium,15-25,"Break your remaining tasks into very small steps and do just one at a time."
Medium,15-25,"Avoid comparing your progress to others on social media - everyone moves at their own pace."
Medium,15-25,"Get at least 7 to 8 hours of sleep tonight to reset your mind."
Medium,26-40,"Block 20 minutes in your day just for yourself - no work, no phone, just rest."
Medium,26-40,"Write down what is stressing you most and identify one action you can take today."
Medium,26-40,"Reach out to a colleague or friend for a brief conversation to lighten your mood."
Medium,26-40,"Prioritize your most important task first thing tomorrow and leave smaller things for later."
Medium,26-40,"Cook or eat a proper meal today - physical nourishment supports emotional resilience."
Medium,41-65,"Spend time in a calm activity you enjoy - reading, gardening, or prayer."
Medium,41-65,"Share a simple meal or tea with a family member and let yourself relax."
Medium,41-65,"Take things one day at a time and acknowledge what you have already managed well."
Medium,41-65,"A short afternoon rest can help restore both physical and emotional energy."
Medium,41-65,"Connect with a sibling or an old friend - social warmth reduces mental tension."
Low,15-25,"Great job taking care of yourself - keep maintaining this positive routine."
Low,15-25,"Use this good energy to plan ahead for an upcoming task or goal you care about."
Low,15-25,"Share your positivity with a friend who might be having a harder time today."
Low,15-25,"Take a moment to write down what made today feel good so you can revisit it later."
Low,15-25,"Stay consistent with your sleep and study habits - stability protects your wellbeing."
Low,26-40,"You are in a good space today - use this clarity to tackle something you have been putting off."
Low,26-40,"Appreciate the small wins from today and acknowledge your own efforts."
Low,26-40,"Check in with a colleague or loved one - your positive energy can uplift others too."
Low,26-40,"Use this calm moment to plan your week ahead with a clear and relaxed mind."
Low,26-40,"A short evening walk or quiet time will help you carry this good mood into tomorrow."
Low,41-65,"Alhamdulillah for a peaceful day - take a moment of gratitude for what is going well."
Low,41-65,"Spend quality time with your family this evening and enjoy the calm."
Low,41-65,"This is a good day to reflect on how far you have come and feel proud of it."
Low,41-65,"Share your good mood with those around you - a kind word goes a long way."
Low,41-65,"Continue the habits that brought you peace today and build on them tomorrow."
